Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Site_10,Site_11,Site_12,Site_13,Site_14,Site_15,Site_16,Site_17,Site_18,Site_19,Site_20,Site_21,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28,Site_29,Site_30,Site_31,Site_32,Site_33,Site_34,Site_35,Site_36,Site_37,Site_38,Site_39,Site_40,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48,Site_49,Site_50,Site_51,Site_52,Site_53,Site_54,Site_55,Site_56,Site_57,Site_58,Site_59,Site_60,Site_61,Site_62,Site_63,Site_64,Site_65,Site_66,Site_67,Site_68,Site_69,Site_70,Site_71,Site_72,Site_73,Site_74,Site_75,Site_76,Site_77,Site_78,Site_79,Site_80,Site_81,Site_82,Site_83,Site_84,Site_85,Site_86,Site_87,Site_88,Site_89,Site_90,Site_91,Site_92,Site_93,Site_94,Site_95,Site_96,Site_97,Site_98,Site_99,Site_100
42.46083,60.70821,46.36083,37.34779,48.54517,24.20041,17.55173,22.31041,31.71345,26.26476,3.384345,28.5691,25.27476,31.44345,37.67214,28.5691,42.22648,50.88517,33.87345,42.97648,35.63779,41.29648,44.53083,47.52517,53.78386,44.53083,51.17387,32.73345,31.50345,31.32345,40.96648,64.35124,23.00041,46.38517,49.97952,64.14124,100.8403,86.25297,86.25297,80.35428,95.80035,102.8034,79.18428,75.46993,75.49993,66.3969,99.77904,79.83862,104.4834,128.6781,123.4995,95.98035,82.32297,42.16648,32.79345,15.84172,10.24304,30.48345,34.61779,21.32041,14.22172,21.62041,17.55173,86.00731,89.27731,97.57035,50.94517,67.2369,21.62041,70.63993,6.76869,23.09041,33.87345,45.49083,14.22172,15.81172,100.409,17.55173,42.16648,56.66386,58.24821,80.31297,35.6978,46.59517,117.4864,38.06214,58.57255,13.08738,103.3677,71.35993,94.42035,96.18469,141.5555,27.9391,35.09779,32.73345,42.97648,41.29648,44.53083,95.85469
52.50304,60.86592,45.37016,37.57728,47.8416,21.20008,11.23576,19.31008,29.5744,23.09008,24.47008,41.96872,35.85584,45.3516,45.2316,41.96872,60.84736,55.19592,51.63304,61.59736,52.38304,58.61592,68.8688,72.15024,78.98312,68.8688,76.37312,55.92304,54.69304,52.4316,65.01736,90.69888,45.32872,71.01024,74.89168,88.40744,104.4432,88.70744,88.70744,84.316,119.069,127.3233,83.146,77.06312,77.09312,67.1288,117.5733,95.6232,120.8247,149.0562,141.5634,111.4604,110.1061,66.21736,55.98304,37.59584,31.42296,39.37728,45.88016,32.1844,22.52008,2.83144,11.23576,88.74888,92.01888,101.1732,50.2416,67.9688,2.83144,97.56176,27.66152,45.41872,51.63304,64.3988,22.52008,26.10152,131.4076,11.23576,66.21736,56.53448,58.40592,108.0961,59.17448,71.22024,122.8118,36.49728,82.26456,10.26432,133.4476,98.28176,121.0347,117.8918,163.082,50.8416,58.57448,55.92304,61.59736,58.61592,68.8688,125.0733
52.50304,60.86592,45.37016,37.57728,47.8416,21.20008,11.23576,19.31008,29.5744,23.09008,24.47008,41.96872,35.85584,45.3516,45.2316,41.96872,60.84736,55.19592,51.63304,61.59736,52.38304,58.61592,68.8688,72.15024,78.98312,68.8688,76.37312,55.92304,54.69304,52.4316,65.01736,90.69888,45.32872,71.01024,74.89168,88.40744,104.4432,88.70744,88.70744,84.316,119.069,127.3233,83.146,77.06312,77.09312,67.1288,117.5733,95.6232,120.8247,149.0562,141.5634,111.4604,110.1061,66.21736,55.98304,37.59584,31.42296,39.37728,45.88016,32.1844,22.52008,2.83144,11.23576,88.74888,92.01888,101.1732,50.2416,67.9688,2.83144,97.56176,27.66152,45.41872,51.63304,64.3988,22.52008,26.10152,131.4076,11.23576,66.21736,56.53448,58.40592,108.0961,59.17448,71.22024,122.8118,36.49728,82.26456,10.26432,133.4476,98.28176,121.0347,117.8918,163.082,50.8416,58.57448,55.92304,61.59736,58.61592,68.8688,125.0733
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
105.1086,89.88778,92.29049,77.57964,70.28423,87.03236,81.65965,85.14236,70.07423,56.62338,65.8988,42.00253,45.75525,56.35338,63.6188,42.00253,48.30796,57.70338,38.57982,38.21982,27.47169,20.77627,10.86813,20.80627,6.725422,10.86813,13.93085,27.38169,45.81524,52.66067,55.63338,90.88049,73.34422,77.03964,104.9886,90.67049,148.1857,121.9195,121.9195,108.0213,94.98778,103.2459,97.0932,94.75049,94.78049,85.02235,83.33965,59.20609,85.32236,121.2895,107.4486,75.26422,36.71711,95.62049,84.69235,76.13693,58.51338,91.05778,98.0232,80.33965,76.49693,84.45235,81.65965,129.6076,132.8776,142.7257,96.1332,103.0359,84.45235,45.48253,54.58067,38.48982,38.57982,37.79982,76.49693,76.10693,80.72964,81.65965,95.62049,89.49778,82.50236,140.5057,88.11507,101.0859,121.7368,73.37693,9.338134,74.36422,98.9232,24.19898,73.70422,73.67422,136.0003,28.19169,48.72795,27.38169,38.21982,20.77627,10.86813,52.84067
